Distance,Velocity
15,1100.0016804985100000000
97,6700.0102357634700000000
32,2400.0036665421300000000
145,10700.0163466670000000000
50,3100.0047359502300000000
122,9900.0151244862600000000
58,4300.0065692213200000000
91,5300.0080969471700000000
120,9000.0137495330500000000
93,7500.0114579441500000000
158,8900.0135967604600000000
64,5300.0080969471700000000
145,9600.0146661685500000000
61,3300.0050414954400000000
103,5100.0077914020600000000
46,3600.0054998131700000000
34,1800.0027499066300000000
185,9500.0145133959200000000
20,1200.0018332710500000000
